Total batches: 225
Batch info (theta, phi, gamma, psi_deg, E1, E2):
Batch 51: theta=75.00, phi=125.00, gamma=0.790, psi_deg=127.5, E1=[-0.0028678821817552306, -0.0027701614661116178, 0.0039562005761811184], E2=[0.004408809677318811, 0.00029968235940096543, -0.0004279907642342629]
Batch 52: theta=75.00, phi=150.00, gamma=0.817, psi_deg=100.4, E1=[-0.004330127018922193, -0.00418258151868904, 0.0024148145657226705], E2=[0.004520459196008243, -0.0023972904779793087, 0.00138407630278708]
Batch 53: theta=75.00, phi=175.00, gamma=0.969, psi_deg=26.5, E1=[-0.004980973490458728, -0.0048112509344952915, 0.0004209299141468461], E2=[-0.002233175501622854, -0.006318874616688981, 0.0005528298952020044]
Batch 54: theta=75.00, phi=200.00, gamma=0.127, psi_deg=106.9, E1=[-0.004698463103929542, -0.0045383668559518435, -0.0016518304477467604], E2=[0.0007584409792612218, -0.0003680176208556715, -0.00013394745967692915]
Batch 55: theta=75.00, phi=225.00, gamma=0.203, psi_deg=171.1, E1=[-0.0035355339059327385, -0.0034150635094610977, -0.0034150635094610964], E2=[0.0008586227787764259, 0.0006058624430168624, 0.0006058624430168621]
Batch 56: theta=75.00, phi=250.00, gamma=0.393, psi_deg=34.9, E1=[-0.0017101007166283428, -0.00165183044774676, -0.0045383668559518435], E2=[0.000533296461601839, -0.0006643176505650272, -0.0018251977442725591]
Batch 57: theta=75.00, phi=275.00, gamma=0.512, psi_deg=165.7, E1=[0.00043577871373828945, 0.0004209299141468446, -0.0048112509344952915], E2=[0.0003957678756918904, -0.0002136378350677366, 0.002441891628672939]
Batch 58: theta=75.00, phi=300.00, gamma=0.891, psi_deg=45.5, E1=[0.0025000000000000005, 0.0024148145657226713, -0.004182581518689039], E2=[0.004630650307224619, 0.0007150021036510154, -0.0012384199710421865]
Batch 59: theta=75.00, phi=325.00, gamma=0.413, psi_deg=32.9, E1=[0.004095760221444958, 0.0039562005761811184, -0.002770161466111619], E2=[0.002504504678782854, 0.000620752313980711, -0.00043465544961041486]
Batch 60: theta=75.00, phi=350.00, gamma=0.912, psi_deg=127.2, E1=[0.00492403876506104, 0.004756256212820989, -0.0008386562974826035], E2=[0.0007957059600224095, -0.0061423010678030064, 0.0010830534018880851]
Batch 61: theta=100.00, phi=0.00, gamma=0.754, psi_deg=162.0, E1=[0.005, 0.00492403876506104, 0.0], E2=[-0.0024394597412776865, -0.004695286614757906, 0.0]
Batch 62: theta=100.00, phi=25.00, gamma=0.801, psi_deg=107.8, E1=[0.00453153893518325, 0.00446269467644515, 0.002080988703633917], E2=[0.002642665620919025, -0.004228254351892947, -0.0019716673849148815]
Batch 63: theta=100.00, phi=50.00, gamma=0.362, psi_deg=27.3, E1=[0.003213938048432697, 0.0031651111077974454, 0.0037720325336774445], E2=[0.001850570337656901, 0.000676189027839028, 0.0008058507031999478]
Batch 64: theta=100.00, phi=75.00, gamma=0.402, psi_deg=118.4, E1=[0.0012940952255126037, 0.0012744350112208938, 0.004756256212820989], E2=[0.0014935183985176805, -0.0003615298233732937, -0.0013492476692805342]
Batch 65: theta=100.00, phi=100.00, gamma=0.166, psi_deg=9.9, E1=[-0.0008682408883346515, -0.0008550503583141716, 0.004849231551964771], E2=[-1.4320179117559668e-06, -0.00014413497004101352, 0.0008174300351647434]
Batch 66: theta=100.00, phi=125.00, gamma=0.391, psi_deg=106.3, E1=[-0.0028678821817552306, -0.0028243126073181175, 0.004033536420557994], E2=[0.0021618219442705133, -0.000307570369090127, 0.0004392560095490012]
Batch 67: theta=100.00, phi=150.00, gamma=0.869, psi_deg=51.7, E1=[-0.004330127018922193, -0.004264342659762216, 0.00246201938253052], E2=[0.0010225032751620918, -0.004851814570206253, 0.0028011964481667283]
Batch 68: theta=100.00, phi=175.00, gamma=0.256, psi_deg=24.1, E1=[-0.004980973490458728, -0.004905301310952035, 0.0004291582558871566], E2=[-0.0006479573967951962, -0.001663701624195969, 0.00014555503160681443]
Batch 69: theta=100.00, phi=200.00, gamma=0.995, psi_deg=32.3, E1=[-0.004698463103929542, -0.004627082891991617, -0.0016841204441673254], E2=[-0.0013326965409971895, -0.006240361846576717, -0.0022713059632043986]
Batch 70: theta=100.00, phi=225.00, gamma=0.386, psi_deg=102.3, E1=[-0.0035355339059327385, -0.0034818212016000955, -0.0034818212016000942], E2=[0.0021464971413400844, -0.0006563861563459227, -0.0006563861563459226]
Batch 71: theta=100.00, phi=250.00, gamma=0.108, psi_deg=162.1, E1=[-0.0017101007166283428, -0.001684120444167325, -0.004627082891991617], E2=[0.0003403693897968069, 0.00015428834467728287, 0.0004239037430858667]
Batch 72: theta=100.00, phi=275.00, gamma=0.980, psi_deg=100.2, E1=[0.00043577871373828945, 0.00042915825588715507, -0.004905301310952035], E2=[0.0046704505876096316, -0.00011134706393998211, 0.0012727027645929112]
Batch 73: theta=100.00, phi=300.00, gamma=0.176, psi_deg=59.9, E1=[0.0025000000000000005, 0.0024620193825305205, -0.004264342659762216], E2=[0.0009721041421210716, 2.6681376207339062e-05, -4.6213499206970655e-05]
Batch 74: theta=100.00, phi=325.00, gamma=0.756, psi_deg=25.6, E1=[0.004095760221444958, 0.004033536420557993, -0.0028243126073181192], E2=[0.004399839641793286, 0.0016507368060948084, -0.0011558583552278058]
Batch 75: theta=100.00, phi=350.00, gamma=0.597, psi_deg=49.1, E1=[0.00492403876506104, 0.004849231551964771, -0.000855050358314172], E2=[0.0041479479438181035, -0.0002962362069265632, 5.223443594388901e-05]
Batch 76: theta=125.00, phi=0.00, gamma=0.977, psi_deg=120.2, E1=[0.005, 0.004095760221444958, 0.0], E2=[0.0010010610256120864, -0.006235165634074122, 0.0]
Batch 77: theta=125.00, phi=25.00, gamma=0.330, psi_deg=19.5, E1=[0.00453153893518325, 0.00371201938253052, 0.0017309430652937706], E2=[0.0018612499197487105, 0.0007025987141225946, 0.00032762716100522053]
Batch 78: theta=125.00, phi=50.00, gamma=0.799, psi_deg=140.8, E1=[0.003213938048432697, 0.002632703922591816, 0.0031375343579856654], E2=[7.493255160855688e-05, -0.002671946992729272, -0.0031843024278064057]
Batch 79: theta=125.00, phi=75.00, gamma=0.785, psi_deg=164.6, E1=[0.0012940952255126037, 0.001060060749483273, 0.0039562005761811184], E2=[-0.00012521519535462077, -0.0008725880872347712, -0.00325654307563951]
Batch 80: theta=125.00, phi=100.00, gamma=0.693, psi_deg=102.3, E1=[-0.0008682408883346515, -0.00071122129861462, 0.004033536420557994], E2=[0.0029003827986849844, 2.966625883194725e-06, -1.6824571436969473e-05]
