i,K_path,Q0_path,Q1_true,Q1_model,active_surface,branch_sign_eff,t_path,s_path
13,7.3829831137572910e-15,-2.7200464103316335e-15,1.9845236565174673e-15,2.2351741790771484e-08,red,-1.0000000000000000e+00,2.3314683517128287e-15,5.0515147620444623e-15
14,8.6597395920762210e-15,-1.4432899320127035e-15,1.6653345369377348e-15,1.1175870895385742e-07,red,-1.0000000000000000e+00,3.6082248300317588e-15,5.0515147620444623e-15
15,9.9642516460107800e-15,-1.3877787807814457e-16,1.9706458687096529e-15,8.1956386566162109e-08,red,-1.0000000000000000e+00,4.9127368839663177e-15,5.0515147620444623e-15
16,1.1601830607332886e-14,-1.7763568394002505e-15,2.1649348980190553e-15,2.2351741790771484e-08,red,-1.0000000000000000e+00,4.9127368839663177e-15,6.6890937233665682e-15
17,1.2045919817182948e-14,-1.3322676295501878e-15,2.7200464103316335e-15,-6.8773601924476679e-08,red,-1.0000000000000000e+00,5.3568260938163803e-15,6.6890937233665682e-15
18,1.4183099139586375e-14,-3.4694469519536142e-15,2.9698465908722937e-15,-9.1689571490860544e-09,red,-1.0000000000000000e+00,5.3568260938163803e-15,8.8262730457699945e-15
19,1.6042722705833512e-14,-1.6098233857064770e-15,4.2466030691912238e-15,-9.8575924312171992e-08,red,-1.0000000000000000e+00,7.2164496600635175e-15,8.8262730457699945e-15
20,1.7985612998927536e-14,-3.5527136788005009e-15,3.8857805861880479e-15,5.7322040447616018e-09,red,-1.0000000000000000e+00,7.2164496600635175e-15,1.0769163338864018e-14
21,2.0955459589799830e-14,-6.5225602696727947e-15,2.4980018054066022e-15,-1.3582882729679113e-07,red,-1.0000000000000000e+00,7.2164496600635175e-15,1.3739009929736312e-14
22,2.5479618415147343e-14,-1.9984014443252818e-15,3.1363800445660672e-15,-6.8773601924476679e-08,red,-1.0000000000000000e+00,1.1740608485411030e-14,1.3739009929736312e-14
23,2.7033930649622562e-14,-3.5527136788005009e-15,3.3584246494910985e-15,-3.8971279536781367e-08,red,-1.0000000000000000e+00,1.1740608485411030e-14,1.5293322164211531e-14
24,2.8921309791485328e-14,-5.4400928206632670e-15,5.5511151231257827e-15,-3.8971279536781367e-08,red,-1.0000000000000000e+00,1.1740608485411030e-14,1.7180701306074297e-14
25,3.1363800445660672e-14,-2.9976021664879227e-15,3.3029134982598407e-15,9.5139171207847539e-08,red,-1.0000000000000000e+00,1.4183099139586375e-14,1.7180701306074297e-14
26,3.2918112680135891e-14,-4.5519144009631418e-15,4.6351811278100286e-15,6.5336848820152227e-08,red,-1.0000000000000000e+00,1.4183099139586375e-14,1.8735013540549517e-14
27,3.3528735343679728e-14,-3.9412917374193057e-15,4.2188474935755949e-15,9.5139171207847539e-08,red,-1.0000000000000000e+00,1.4793721803130211e-14,1.8735013540549517e-14
28,3.3695268797373501e-14,-3.7747582837255322e-15,3.7747582837255322e-15,9.5139171207847539e-08,red,-1.0000000000000000e+00,1.4960255256823984e-14,1.8735013540549517e-14
29,3.4972025275692431e-14,-5.0515147620444623e-15,6.7168492989821971e-15,1.2494149359554285e-07,red,-1.0000000000000000e+00,1.4960255256823984e-14,2.0011770018868447e-14
30,3.9801495432811862e-14,-2.2204460492503131e-16,3.1641356201816961e-15,3.3169510516017908e-07,red,-1.0000000000000000e+00,1.9789725413943415e-14,2.0011770018868447e-14
31,4.4408920985006262e-14,-4.8294701571194310e-15,6.6058269965196814e-15,3.6149742754787439e-07,red,-1.0000000000000000e+00,1.9789725413943415e-14,2.4619195571062846e-14
32,4.5963233219481481e-14,-3.2751579226442118e-15,4.7739590058881731e-15,4.2110207232326502e-07,red,-1.0000000000000000e+00,2.1344037648418634e-14,2.4619195571062846e-14
33,4.7351012000262926e-14,-4.6629367034256575e-15,3.8857805861880479e-15,4.2110207232326502e-07,red,-1.0000000000000000e+00,2.1344037648418634e-14,2.6006974351844292e-14
