Total batches: 225
Batch info (theta, phi, strain):
Batch 100: theta=150.00, phi=225.00, strain=[-0.007071067811865477, -0.003535533905932738, -0.003535533905932737]
Batch 101: theta=150.00, phi=250.00, strain=[-0.0034202014332566856, -0.0017101007166283426, -0.004698463103929542]
Batch 102: theta=150.00, phi=275.00, strain=[0.0008715574274765789, 0.0004357787137382894, -0.004980973490458727]
Batch 103: theta=150.00, phi=300.00, strain=[0.005000000000000001, 0.0025, -0.004330127018922192]
Batch 104: theta=150.00, phi=325.00, strain=[0.008191520442889916, 0.004095760221444957, -0.002867882181755232]
Batch 105: theta=150.00, phi=350.00, strain=[0.00984807753012208, 0.00492403876506104, -0.0008682408883346518]
Batch 106: theta=175.00, phi=0.00, strain=[0.01, 0.0008715574274765819, 0.0]
Batch 107: theta=175.00, phi=25.00, strain=[0.0090630778703665, 0.0007898992833716565, 0.0003683360850073488]
Batch 108: theta=175.00, phi=50.00, strain=[0.006427876096865394, 0.0005602263155122215, 0.0006676517241775074]
Batch 109: theta=175.00, phi=75.00, strain=[0.0025881904510252074, 0.00022557566113149842, 0.0008418598282936922]
Batch 110: theta=175.00, phi=100.00, strain=[-0.001736481776669303, -0.00015134435901338622, 0.0008583165117743132]
Batch 111: theta=175.00, phi=125.00, strain=[-0.005735764363510461, -0.0004999048033273032, 0.0007139380484326967]
Batch 112: theta=175.00, phi=150.00, strain=[-0.008660254037844387, -0.0007547908730517336, 0.0004357787137382909]
Batch 113: theta=175.00, phi=175.00, strain=[-0.009961946980917456, -0.000868240888334652, 7.596123493895974e-05]
Batch 114: theta=175.00, phi=200.00, strain=[-0.009396926207859084, -0.0008189960831908936, -0.00029809019626209163]
Batch 115: theta=175.00, phi=225.00, strain=[-0.007071067811865477, -0.0006162841671621938, -0.0006162841671621936]
Batch 116: theta=175.00, phi=250.00, strain=[-0.0034202014332566856, -0.0002980901962620915, -0.0008189960831908936]
Batch 117: theta=175.00, phi=275.00, strain=[0.0008715574274765789, 7.596123493895948e-05, -0.000868240888334652]
Batch 118: theta=175.00, phi=300.00, strain=[0.005000000000000001, 0.00043577871373829107, -0.0007547908730517334]
