element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
9.770000000000000000e+02,8.425593726167297959e+00,1.009418053235887847e+01,9.319831709932151043e+00,1.790361519525472123e-01,2.636259837287057242e-04,4.296201885344534265e-04,4.273894816310123317e-04
1.100000000000000000e+01,5.444939968891914006e+00,6.292849271678734979e+00,5.767839694266730710e+00,1.470063919476902736e-01,2.749721389559807373e-04,2.418950222406189880e-04,3.469934066707066342e-04
1.580000000000000000e+02,9.646453356521941913e+00,1.141587092893631628e+01,1.003945423892237976e+01,1.762463905213537685e-01,2.807747790671296208e-04,3.525711818413464335e-04,2.697631529269370223e-04
4.250000000000000000e+02,1.573894538836818136e+01,1.984762739088433392e+01,1.680882297739369591e+01,2.444360326741466527e-01,4.056878762495672161e-04,5.121124483371125580e-04,4.583125635010346240e-04
2.720000000000000000e+02,7.359221182571484832e+00,8.295998667433076790e+00,8.023939649779970651e+00,1.167478228587225109e-01,3.397127105992394877e-04,2.983163913783258201e-04,2.762732903355813170e-04
1.490000000000000000e+02,6.029181261073119913e+00,7.131620806803113943e+00,6.701833637348336481e+00,1.644981963721480756e-01,2.611871350062516394e-04,3.854175766346535866e-04,4.191829087479590843e-04
2.090000000000000000e+02,1.628234217208524370e+01,1.730742001323174861e+01,1.666967680117985040e+01,6.149356423478778699e-02,9.759819723382796679e-05,1.275716176461336626e-04,1.238447347343969013e-04
4.090000000000000000e+02,1.273528978769560993e+01,1.534395386770892422e+01,1.353267449997414040e+01,1.927678139319983774e-01,3.044261304785341208e-04,3.943974166388805667e-04,3.311384028567634918e-04
4.340000000000000000e+02,1.100314429132260052e+01,1.207903553392751483e+01,1.127777011607266466e+01,9.539928829295726831e-02,1.766227466166238628e-04,2.288675661513867065e-04,1.978161172313320549e-04
4.530000000000000000e+02,9.949642052995960384e+00,1.075575712491139235e+01,1.045937027389939367e+01,7.707109040082787965e-02,1.968199801361664701e-04,1.795147535812215698e-04,1.895204203726079948e-04
3.720000000000000000e+02,1.665268220460213300e+01,1.763652836718190997e+01,1.699632011650942687e+01,5.788583386495027572e-02,1.279376602186624605e-04,1.120926744268460455e-04,9.572071177842772711e-05
8.890000000000000000e+02,5.066944916080533545e+00,7.362916647927656655e+00,6.927325405651569845e+00,3.314369684400828020e-01,8.459804061811388278e-04,8.145486937833483791e-04,8.318684521326551390e-04
2.550000000000000000e+02,1.087184356926415596e+01,1.158880537699862678e+01,1.111448250010120198e+01,6.450698966217659203e-02,1.186602238918154799e-04,1.109429152009423975e-04,1.776950124651325896e-04
7.030000000000000000e+02,1.038651602942301544e+01,1.150553392409162612e+01,1.100806427894269746e+01,1.016543750393225504e-01,2.572338547899814137e-04,2.033670215024524670e-04,2.529935306064680736e-04
7.350000000000000000e+02,1.110446387550604541e+01,1.280407262046609596e+01,1.158152879892964826e+01,1.467516745386089616e-01,3.228085343006370489e-04,3.236923167348989324e-04,3.244855127177238082e-04
9.040000000000000000e+02,4.699049759048445019e+00,5.831256453575915266e+00,5.121498482708811473e+00,2.210694191065414316e-01,6.292288352525460694e-04,5.828944797233438736e-04,6.451199266548075621e-04
7.220000000000000000e+02,5.831496810077513082e+00,6.452328801868274510e+00,6.319777169626074276e+00,9.823637370864683749e-02,2.333323897277804243e-04,1.839717852241896294e-04,2.082912477276569255e-04
5.890000000000000000e+02,1.196480318597876646e+01,1.311611705583172771e+01,1.263227530485280958e+01,9.114065693380454802e-02,1.417805072815438801e-04,1.864126684185636660e-04,2.550196209886486788e-04
1.640000000000000000e+02,6.700104277686636856e+00,8.158633937414483839e+00,7.132757021277822851e+00,2.044832952218739175e-01,2.972265605089268597e-04,3.618028922264420778e-04,3.431655528604953247e-04
6.430000000000000000e+02,5.409626288337889832e+00,6.725986708390411906e+00,5.925644293381289174e+00,2.221463784997767532e-01,6.133062166608856157e-04,5.952040399304877379e-04,4.451352887016576726e-04
7.550000000000000000e+02,4.951582422314799281e+00,5.997759538563079751e+00,5.413939959832030802e+00,1.932376649926384471e-01,3.158628785148745411e-04,2.863517463882053748e-04,3.915906227471282618e-04
5.330000000000000000e+02,5.800398818501442122e+00,7.376209402600064635e+00,6.222588395724145016e+00,2.532403694227054469e-01,5.359776103651631238e-04,4.997345679660054408e-04,5.013295789065563834e-04
8.750000000000000000e+02,5.874364188252863883e+00,7.508056981998449508e+00,6.395852755810250478e+00,2.554300194389986789e-01,6.028993320350480587e-04,6.721062426812944449e-04,7.521813135811448699e-04
4.160000000000000000e+02,9.838757998775067293e+00,1.095690704954149552e+01,1.071516030616664672e+01,1.043520599615225530e-01,3.004426521622346915e-04,2.525110976182710736e-04,2.351752191082615202e-04
